customer_id,customer_name,total_trips,total_spent,avg_rating
C00057,"Saumya Dey",10,4717.3,3.56
C00058,"Arya Shere",3,1676.5,4.03
C00059,"Saanvi Chaudhari",9,4162.4,3.51
C00061,"Vedika Srivastava",6,3349.35,4.2
C00062,"Daniel Gala",9,3923.5,3.68
C00063,"Madhavi Lanka",3,643.75,3.43
C00064,"Bhavika Sampath",7,4189.950000000001,3.93
C00065,"Mohammed Gupta",2,825,3.15
C00067,"Dakshesh Bedi",10,4874.900000000001,3.73
C00068,"Yadavi Wali",6,3329.9,4.08
C00069,"Yashoda Buch",6,3259.1,3.87
C00070,"Ekapad Bir",11,5013.15,4.17
C00071,"Netra Dar",5,2473.85,3.38
C00073,"Advika Jayaraman",6,2325.4,4.58
C00075,"Charita Shankar",6,2915.75,3.92
C00076,"Aditya Shanker",4,2497.75,4.03
C00078,"Kevin Palla",5,1940.6,3.22
C00080,"Raksha Mittal",4,2077.8,3.75
C00081,"Chandani Chawla",8,5312.25,4.06
C00082,"Aishani Dâ€™Alia",6,2133.75,3.72
C00083,"Nachiket Magar",11,5767.75,3.78
C00084,"Hemal Jani",6,4006.4,3.97
C00085,"Yashasvi Suresh",1,604.8,4.9
C00086,"George Sampath",13,6186.75,3.98
C00088,"Adweta Edwin",8,5292.75,3.8
C00089,"Prisha Andra",8,4304.5,3.69
C00090,"Manthan Banik",7,3884.5,3.86
C00091,"Manbir Sani",14,8608.1,3.94
C00092,"Darika Patla",12,5256.400000000001,3.98
C00094,"Harshil Pandya",11,5975.450000000001,4
C00095,"Mohammed Khalsa",11,6047.45,3.89
C00096,"Peter Sachar",5,2901.4,3.52
C00097,"Gaurangi Sabharwal",6,2681.7,3.92
C00098,"Amara Dutta",8,1878.2,3.81
C00103,"Mohini Narasimhan",4,1511.25,3.88
C00106,"Pranav Lanka",4,2564,4.28
C00108,"Rajata Vaidya",9,5193.5,3.84
C00109,"Ranveer Kumar",11,6689.2,4.11
C00112,"Dipta Dash",5,3630.5,3.76
C00113,"Yashica More",5,1579.25,3.9
C00114,"Eta Rau",8,4058.8,4.04
C00115,"Joshua Handa",5,3267.8,4.06
C00116,"Owen Mitra",12,6508.95,3.73
C00117,"Daksha Mangat",8,4814,4.06
C00118,"Ekanta Shroff",9,5145.4,3.92
C00119,"Tanay Vaidya",14,7108.450000000001,4.06
C00120,"Frado Mander",5,2961.95,4.08
C00121,"Girik Keer",4,2048.4,3.8
C00122,"Umang Issac",2,1664,4.7
C00123,"Chakradhar Konda",7,3525.5,3.89
C00124,"Tamanna Sachdeva",6,3575,3.95
C00125,"Leena Talwar",4,978.8,4.25
C00126,"Manbir Ahluwalia",8,4868,3.87
C00127,"Pavani Kanda",12,6837.150000000001,3.76
C00128,"Chandresh Krish",14,7404.65,3.89
C00131,"Sanaya Dutt",9,4473.75,4.32
C00133,"Aradhana Verma",5,2101.5,4.14
C00134,"Anvi Sarraf",6,3611.25,3.97
C00135,"Wahab Magar",10,4869.299999999999,4.12
C00136,"Faris Devi",10,4348.25,3.65
C00137,"Leela Dua",8,3352.6,3.38
C00138,"Devansh Sachdeva",5,5366.75,4.34
C00140,"Osha Ramachandran",5,2410.25,3.7
C00141,"Lajita Sood",6,1621.65,4.3
C00142,"Chanchal Ramakrishnan",12,6567.65,4.42
C00143,"Thomas Sura",8,3608.8,3.94
C00144,"Rajata Sunder",7,2816,3.89
C00145,"Gayathri Ravel",9,4342.25,4.07
C00146,"Unni Datta",8,5513.6,3.98
C00149,"Abha Raghavan",7,2419.75,4.19
C00150,"Suhani Narain",7,4018.2,3.94
C00152,"Upma Bahl",13,5704.8,3.86
C00154,"Banjeet Balasubramanian",7,4532.2,4.13
C00155,"Anmol Dua",3,1636.85,4.3
C00157,"Udyati Kunda",9,3765.6,4.14
C00159,"Deepa Chokshi",8,3314.25,4.55
C00160,"Devika Prashad",5,2288.65,3.88
C00161,"Faqid Kibe",8,3281.45,3.53
C00162,"Jai Barman",12,6736.650000000001,4.12
C00163,"Kamala Biswas",8,4058.3,3.92
C00164,"Advik Salvi",8,3099.8,3.65
C00165,"Hitesh Sant",6,2817.75,3.3
C00166,"Michael Saran",11,4531.3,3.32
C00167,"Veda Shroff",10,4702.3,3.83
C00168,"Ekantika Korpal",14,6898,3.82
C00169,"Arya Seshadri",9,5723.25,3.32
C00172,"Isha Kuruvilla",7,3637.8,4
C00175,"Vrinda Khosla",6,2784.3,3.75
C00177,"Girik Menon",8,3941.35,3.86
C00178,"Yagnesh Mohan",10,4504.35,3.62
C00180,"Ganga Pandey",12,5670.8,3.97
C00184,"Aradhana Vohra",7,3270.25,4.44
C00185,"Harish Hari",12,6226.25,4.02
C00186,"Jalsa Gola",8,6157.5,3.94
C00187,"Jonathan Mahal",3,1110,4.43
C00189,"Harshil Arora",9,4407.9,3.8
C00190,"Upasna Srinivas",10,4422,4.36
C00193,"Ethan Bera",10,10803.1,3.8
C00194,"Daksha Chada",7,5037.95,3.91
C00195,"Omaja Kara",10,7909.099999999999,4
C00196,"Shravya Savant",8,2960.6,4.07
C00201,"Upma Manne",5,2763.4500000000003,4.02
C00202,"Bhavya Mandal",9,3014.5,3.94
C00203,"Ekavir Kaur",12,9786.55,3.95
C00204,"Rudra Sandal",6,4535.5,3.3
C00206,"Ekbal Bhasin",7,3211.75,3.9
C00207,"Bhavya Sarna",8,3618.8,3.99
C00208,"Daksha Rau",5,2327.6,3.82
C00209,"Raksha Buch",9,3728.4500000000003,4.06
C00210,"Rachana Naidu",12,4776.75,3.78
C00211,"Atharv Chand",4,1582.8000000000002,3.88
C00212,"Amruta Baria",5,2161.5,3.96
C00213,"Upma Venkataraman",9,5270.45,4.03
C00214,"Arunima Golla",8,3195.75,4.21
C00215,"Vyanjana Chand",12,5861,3.37
C00216,"Nilima Nath",8,3375.8,4.14
C00217,"Naveen Narayan",11,5431.5,3.91
C00218,"Bhavya Rattan",7,6485,4.3
C00219,"Suhani Chakrabarti",7,2971.2,3.33
C00220,"Ekiya Dâ€™Alia",9,4484.15,4.06
C00225,"Bhavna Sarma",8,2009.5,4.07
C00227,"Nathan Mukhopadhyay",17,7865.1,4.19
C00230,"Wishi Manne",6,2901.85,4.22
C00231,"Ojasvi Subramanian",10,6390,3.9
C00232,"Tanmayi Dhillon",8,5371,4.06
C00233,"Yashoda Deshpande",8,5418.8,3.96
C00234,"Anya Sachdeva",9,4068.8,4.42
C00235,"Aarnav Mandal",12,6045.2,4.04
C00236,"Vrishti Dixit",6,2637.75,4.12
C00237,"Hemani Natarajan",3,1464.1,3.8
C00238,"Tamanna Nagy",5,2372.75,2.9
C00239,"William Rajagopal",3,1768.3,4.13
C00240,"Caleb Nadkarni",9,2413.45,4.27
C00242,"Warhi Bansal",10,5962.8,3.91
C00244,"Alexander Dhawan",7,3458.25,3.86
C00246,"Hamsini Rao",6,3333,3.93
C00247,"Falguni Walla",5,1658,4.46
C00248,"Vinaya Banik",10,1863.5,4.02
C00251,"Sachi Ganesan",7,4548.5,3.93
C00253,"Chaaya Parmer",10,5500.55,3.85
C00254,"Madhav Konda",7,3814,4.04
C00256,"Lavanya Khosla",11,4307.599999999999,4.03
C00259,"Udyati Mani",10,3280.95,4.15
C00260,"Ethan Sathe",9,3273.2,3.94
C00261,"Panini Krishna",10,4325.65,3.99
C00262,"Rushil Rajagopalan",10,6224.5,3.53
C00263,"Hredhaan Khalsa",8,4068.85,4
C00264,"Chakrika Merchant",12,5148.650000000001,4.24
C00266,"Watika Mangat",15,7136.799999999999,3.99
C00267,"Indira Kanda",7,3905.75,3.79
C00268,"Zashil Devan",7,2502.6,4.4
C00270,"Bahadurjit Patla",6,3552.05,4.23
C00271,"Gautam Merchant",6,3336.5,3.63
C00272,"Parth Iyer",6,2512.45,4.25
C00273,"Yachana Mahajan",9,3440.5,3.39
C00274,"Aarini Subramaniam",8,3429,3.92
C00275,"Hamsini Contractor",11,4164.7,3.55
C00276,"Lohit Kara",9,3999.9,4.12
C00279,"Suhani Pillay",8,2837.15,3.38
C00280,"Lakshmi Prabhu",10,5213.900000000001,4.06
C00282,"Timothy Bhatnagar",4,2920.6,3.05
C00285,"Jack Chatterjee",4,3552.5,3.8
C00286,"Lipika Setty",4,2401.95,4.38
C00287,"Mohammed Sachdeva",5,2778.6,4.24
C00288,"Vrishti Reddy",8,3501.5,4.11
C00289,"Bachittar Prabhakar",11,4411.5,3.38
C00290,"Sai Keer",11,5356.1,3.91
C00292,"Darsh Rao",8,3271.5,3.41
C00293,"Jason Sha",13,7652.449999999999,3.72
C00295,"Yagnesh Dass",4,1676,3.8
C00296,"Ekapad Johal",6,2422.8,4.12
C00297,"Viraj Narasimhan",9,5258.15,4.18
C00298,"Aarnav Malhotra",11,4938,3.75
C00300,"Imaran Bal",9,5594.3,3.98
C00301,"Ishita Khanna",4,2048.2,4.08
C00302,"Amol Ghosh",8,4770.45,4.08
C00303,"Jonathan Sama",4,1101.75,3.58
C00304,"Devansh Soni",5,2482,3.64
C00305,"Yochana Chopra",6,3912,3.55
C00308,"Pooja Chokshi",9,3354.7,4.11
C00309,"Ethan Buch",7,4214.15,4.11
C00314,"Odika Nori",9,4826.400000000001,3.86
C00315,"Mohini Sagar",8,3742.5,3.64
C00316,"Dhriti Sane",6,3126.1,4.08
C00317,"Kavya Dua",7,4545.05,4.33
C00319,"Girik Sankaran",7,2709.3999999999996,4.04
C00320,"Kalpit Bhasin",12,3942.2000000000003,3.88
C00322,"Charan Mani",11,5263.1,3.65
C00323,"Indira Chawla",4,1469.25,3.4
C00325,"Inaya Pillai",12,6647.55,4.13
C00327,"Amara Balakrishnan",11,5998.45,4.14
C00328,"Dayamai Nori",11,6897,3.65
C00329,"Pratyush Dhar",7,3108.45,4.31
C00330,"Ekaraj Dhar",7,4101.3,4.07
C00332,"Oni Setty",8,5874.900000000001,3.75
C00333,"Kala Muni",7,3379.85,3.91
C00336,"Panini Sunder",11,4914.85,3.95
C00338,"Hemani Sani",9,3852.05,3.8
C00339,"Vidhi Vyas",12,4870.95,3.64
C00341,"Abhimanyu Jayaraman",6,4226.7,4.08
C00342,"Laksh Kumer",7,2940,4.16
C00343,"Jagdish Amble",5,2654.5,3.9
C00348,"Nidhi Sahni",5,2896.9,3.74
C00349,"Nidhi Bail",9,5000.85,4.09
C00350,"Triveni Pathak",11,4595.9,4.15
C00351,"Hitesh Kohli",4,1958,4
C00352,"Farhan Randhawa",13,5227,3.62
C00353,"Harinakshi Kant",10,3719.25,4.01
C00354,"Faraj Uppal",8,3439.5,3.96
C00356,"Indali Divan",7,2516,3.87
C00357,"Madhav Kunda",5,3064.9,4
C00359,"Ucchal Sen",8,4130.9,4.06
C00361,"Upasna Sathe",10,5639.299999999999,3.85
C00362,"Anvi Bhalla",3,1283.8,3.87
C00363,"Dayita Shenoy",7,2499.7,3.69
C00364,"Dakshesh Pillay",7,3939.1,3.53
C00365,"Faraj Chana",8,3724,3.82
C00366,"Turvi Barman",13,7126.9,3.81
C00368,"David Seshadri",11,6439.5,3.99
C00371,"Reva Viswanathan",5,3777.75,4.18
C00373,"Lila Rege",11,4320.5,4.01
C00375,"Girindra Raju",4,2334.5,4.05
C00376,"Mason Nath",8,6199.2,3.86
C00378,"Kai Chad",5,3415.5,4.26
C00379,"Falguni Datta",7,3386,4.3
C00380,"Pallavi Trivedi",6,2593.5,4.35
C00383,"Laksh Dubey",11,4979.05,3.54
C00384,"Harrison Tripathi",13,8210.25,3.93
C00385,"Gayathri Deep",7,3499.4,3.87
C00386,"Mitesh Gaba",6,2579.95,3.55
C00389,"Saumya Kaur",5,2368.85,3.6
C00391,"Jhalak Sastry",5,2545.75,4.44
C00392,"Lavanya Thakkar",10,3346.6,4.23
C00393,"Neel Iyengar",6,3985.5499999999997,4.15
C00394,"Zashil Ben",14,8813.099999999999,4.11
C00395,"Kamya Chauhan",6,3012.75,3.42
C00397,"Anjali Sengupta",7,785.8,4.01
C00398,"Rajeshri Chand",9,3577.45,4.02
C00399,"Shravya Palla",6,2748.75,4.05
C00400,"Oeshi Bera",7,3237.5,3.8
C00402,"Udarsh Bala",9,4190,4.29
C00403,"Gautami Dhingra",10,5851.5,3.59
C00406,"Fariq Bahl",8,3139.6,3.84
C00407,"Mason Wable",7,4505.25,4.43
C00408,"Bhavya Khanna",6,3599.85,3.87
C00409,"Champak Khare",6,4655.45,3.85
C00410,"Dev Choudhry",8,3995,4.03
C00411,"Amol Varma",6,1810,3.92
C00413,"Ira Khosla",4,2116.7999999999997,4.2
C00416,"Madhavi Singhal",10,4465.8,4.27
C00417,"Kashvi Kulkarni",13,4967.75,3.82
C00418,"Ishanvi Bir",8,3895.75,4.29
C00421,"Ucchal Srinivas",6,3295.2,3.6
C00422,"Krishna Bhatnagar",12,5658.1,4.11
C00423,"Balhaar Memon",9,4853.65,3.98
C00425,"Yutika Rao",7,5278.35,3.64
C00426,"Zehaan Bansal",6,1733.65,3.75
C00428,"Garima Mahajan",7,2654.25,3.91
C00429,"Rajeshri Ratta",8,2922.95,4.19
C00430,"Libni Nori",7,4068.25,4.17
C00433,"Pranit Memon",4,2173.75,4.18
C00434,"Fariq Narang",9,4528.5,3.54
C00435,"Damini Sehgal",11,4282.700000000001,3.68
C00436,"Ojas Sawhney",10,4549.8,3.92
C00437,"Brijesh Pandit",7,4684.299999999999,4.3
C00439,"Januja Varghese",10,4496.05,4.42
C00440,"Azaan Dhar",8,3429.9,4.09
C00441,"Bakhshi Date",3,2204.15,3.97
C00442,"Jeevika Pathak",11,5334.6,3.85
C00443,"Mitesh Sengupta",11,4042.95,4.26
C00444,"Sachi Bose",8,3839.9999999999995,4.3
C00446,"Zaid Comar",12,7051.2,4.13
C00447,"Xalak Vasa",9,4137,4.17
C00448,"Adweta Lad",11,4921.9,3.95
C00450,"Ryan Das",8,4847.5,3.8
C00451,"Siya Gera",11,6184.7,4.08
C00454,"Nakul Ghosh",9,5256.2,3.63
C00455,"Yashoda Kapur",7,3277,4.14
C00456,"Liam Khalsa",7,3243.5,4.37
C00457,"Atharv Patel",5,2009.4,4.32
C00458,"Unni Dayal",7,3332.6,4.07
C00459,"Dominic More",5,2119.8,4.16
C00461,"Jeremiah Nadig",9,5636.2,3.63
C00462,"Shivani Shukla",8,3561.3,4.15
C00463,"Kabir Gopal",9,5242.15,3.72
C00464,"Rachita Thakkar",7,4943.45,3.64
C00465,"Jeet Vasa",9,5091.6,3.64
C00466,"Nitesh Edwin",12,4544,4.18
C00469,"Jeremiah Mitter",7,3480.4,4.29
C00470,"Yadavi Ganguly",13,7024.999999999999,4.25
C00471,"Onveer Nazareth",7,3404.2,4.4
C00472,"Ayush Bumb",4,2857.2,3.92
C00473,"Shivansh Saha",6,3423.1,3.88
C00474,"Widisha Mann",10,5147,3.9
C00475,"Vasudha Konda",5,2822.6,4.32
C00478,"Ucchal Jani",14,8722.1,4.01
C00479,"Dhriti Nagar",6,2945.6,3.8
C00480,"Mohini De",8,4099.75,3.58
C00481,"Yutika Cherian",6,3125.4,4.18
C00482,"Unnati Das",7,3829.5,4.03
C00483,"Yug Dhaliwal",13,5189.2,3.77
C00486,"Dhriti Gupta",6,3118.5,3.5
C00487,"Wishi Varma",7,4990.349999999999,4.04
C00488,"Darika Tank",10,3499.2,3.77
C00489,"Maya Tiwari",7,2340.1,3.87
C00491,"Baghyawati Talwar",6,2615.3,4.2
C00493,"Raagini Desai",10,5128.25,4.08
C00494,"Jasmit Rau",9,5734.25,4.13
C00497,"Yamini Seshadri",8,2401.9,3.71
C00498,"Jagat Dave",7,3891.55,3.21
C00500,"Maanas Issac",7,2977.65,4.3
C00501,"Xiti Baria",10,4341.25,3.71
C00502,"Laksh Nath",7,3872.45,4.04
C00504,"Falak Nagar",9,4198.25,3.92
C00505,"Chandani Nayar",5,2387.15,3.84
C00506,"Chandani Soman",12,8653.5,3.56
C00507,"Jyoti Narula",9,3644.4,4.18
C00508,"Omaja Morar",6,3989.8,4.13
C00509,"Urvi Lanka",4,2154.7,3.15
C00511,"Manbir Kibe",3,1975.15,4.23
C00512,"Rayaan Bahl",12,5697.25,3.6
C00514,"Nirja Thaker",9,3001.4,4.03
C00516,"Ekta Sridhar",11,5990.65,4.12
C00517,"Dipta Ghose",6,2289.4,3.7
C00521,"Sarthak Suresh",5,1712.9,4.4
C00522,"Ikshita Mahal",4,879.7,4.22
C00523,"Ladli Rana",10,5437.8,3.74
C00524,"Madhav Mannan",6,2429.9,3.9
C00525,"Farhan Pal",7,5206.85,4.21
C00527,"Anika Magar",11,5213.2,3.93
C00528,"Wriddhish Kibe",8,4417.8,3.75
C00529,"Viraj Ben",5,2573.5,3.96
C00530,"Ganga Sodhi",7,3231.5,3.79
C00531,"Abdul Dugar",7,3457.35,3.96
C00532,"Vansha Iyengar",12,5868.7,3.97
C00533,"Ekani Mangal",7,4116,4.17
C00534,"Gaurav Kata",8,3000.6,3.89
C00535,"Parth Sahni",5,2269.6,4.02
C00536,"Balhaar Ranganathan",6,3263.95,3.98
C00537,"Quincy Mann",6,3126.95,4
C00538,"Aditya Misra",5,3025,3.78
C00539,"Gautami Mane",8,3586,3.54
C00540,"Krish Thaman",11,2590.15,3.78
C00541,"Reyansh Chowdhury",7,2464.6,3.97
C00542,"Tara Kurian",7,2521.6,3.9
C00543,"Akshay Nazareth",10,6917.2,4.23
C00544,"Reyansh Gill",9,4224.5,3.56
C00545,"Prisha Varma",7,2882.2999999999997,4.36
C00546,"Nandini Chandran",8,3449.1,3.04
C00547,"Vansha Naik",9,5393.8,3.96
C00549,"Sanya Loke",10,5301.1,3.77
C00552,"Udyati Mohanty",6,2476,3.92
C00553,"Yadavi Mukhopadhyay",10,4706.5,4.13
C00555,"Theodore Deol",9,4161.5,4.06
C00556,"Suhani Prakash",9,4311.85,4.08
C00558,"Sanya Wable",6,2576,4.03
C00559,"Faras Choudhury",7,4037.0499999999997,3.8
C00560,"Mason Gala",3,1816,3.37
C00563,"Sudiksha Deo",9,3974.9,3.97
C00564,"Tanmayi Bhardwaj",8,4936.65,3.6
C00566,"Aarush Kamdar",8,5290,3.85
C00567,"Chakradev Sampath",7,4842,3.44
C00568,"Darpan Biswas",8,3191.6500000000005,3.09
C00570,"Krishna Salvi",9,3821.25,3.64
C00571,"Saumya Purohit",10,6148.05,3.86
C00572,"Kiaan Pall",7,2504.2,3.3
C00573,"Maya Wadhwa",5,3478.5,4.18
C00574,"Aarush Bajaj",6,2148.5,3.48
C00576,"Yug Sharma",8,3328.5,4.26
C00579,"Wridesh Jhaveri",9,4548.9,3.57
C00580,"Bahadurjit Sekhon",7,6276.5,3.73
C00581,"Yash Basu",12,4679.349999999999,4.26
C00583,"Logan Thakur",8,3299.5,4.3
C00585,"Luke Verma",5,2264.25,3.98
C00586,"Charita Maharaj",15,8885.9,4
C00587,"Prisha Tandon",8,3683.7,3.96
C00588,"Lakshmi Vohra",6,3402.5499999999997,4.05
C00589,"Nilima Dixit",5,2221.25,3.86
C00590,"Qarin Yogi",7,4439.1,4.57
C00591,"Umang Mital",9,6075.4,3.82
C00592,"Ubika Bhardwaj",4,1847.25,4.3
C00593,"Omaja Wagle",9,10437.3,3.94
C00594,"Xavier Kumer",6,1821,4.02
C00595,"Farhan Sengupta",9,4684.35,3.98
C00598,"Elijah Guha",10,5839,4.19
C00599,"Varenya Joshi",6,2682,4.43
C00600,"Chavvi Aurora",7,2977.95,2.84
C00601,"Jacob Srinivas",10,5768.3,3.88
C00604,"Jagrati Morar",6,2132.5,3.93
C00607,"Kamala Munshi",10,4478.45,4.13
C00608,"Timothy Dhingra",6,2301.5,4.08
C00609,"Omisha Merchant",12,5895,3.97
C00611,"Xalak Nazareth",6,1688.9,4.02
C00612,"Vritti Sharma",6,3254.2,3.8
C00613,"Omkaar Dey",7,4272.6,3.99
C00614,"Qarin Bhargava",7,3827.2,4
C00615,"Falan Bava",6,3594.65,4.12
C00617,"Ekansh Dora",7,2836.25,4.21
C00618,"Yashasvi Shah",10,5208,3.96
C00619,"Vasudha Sura",6,2721,4.03
C00620,"Nisha Arora",5,2294.6,4.16
C00621,"Bhavini Badal",7,4384.7,4.29
C00622,"Praneel Chhabra",9,5473.3,3.86
C00623,"Manthan Khosla",11,5970.849999999999,4.35
C00624,"Irya Loke",8,5939.75,3.75
C00625,"Farhan Prakash",9,5126.75,3.72
C00626,"Yagnesh Kara",9,5285.5,4
C00627,"Azad Chander",5,2435.8,4.28
C00628,"Krishna Soni",9,3347,4.43
C00629,"Onveer Butala",10,4931.45,3.62
C00630,"Garima Chandran",9,6288.75,3.82
C00631,"Victor Kakar",8,5227.3,4
C00632,"Anika Batra",5,1823,4.1
C00633,"Avni Bali",11,4510.75,3.73
C00634,"Amol Johal",14,7066.25,3.46
C00636,"Wridesh Ramachandran",6,3140,4.18
C00637,"Leena Dey",6,2942,4.17
C00639,"Rajeshri Kata",3,767.5,3.87
C00640,"Harini Ranganathan",7,1975,4.14
C00641,"Ayushman Mahajan",9,3837.75,3.61
C00642,"Vritti Kari",7,3868,4.04
C00643,"Rachana Grewal",9,4546.5,3.47
C00644,"Frederick Merchant",4,2283.5,3.58
C00645,"Ethan Butala",9,3819.25,3.89
C00646,"Lajita Dube",9,2427.7,4.22
C00647,"Edhitha Patel",5,1743.2,3.26
C00648,"Abdul Morar",12,7543.25,4.2
C00649,"Anamika Chaudry",9,3519.6000000000004,4.14
C00650,"Rachit Sankar",5,2913.75,3.78
C00652,"Girik Nair",8,3632.5,4.38
C00653,"Advik Manne",11,8141.8,3.95
C00654,"Frado Kibe",9,2823.1000000000004,3.9
C00655,"Lajita Gara",12,5562.9,4.1
C00656,"Charvi Loyal",9,5221.900000000001,3.89
C00657,"Dev Ganesh",9,3090.6,4.02
C00658,"Oviya Mistry",12,4569.25,4.08
C00659,"Jalsa Krishnamurthy",4,2338.7,3.92
C00660,"Rohan Shankar",8,2880.25,3.96
C00663,"Qushi Deshpande",8,4726.3,3.79
C00664,"Sai Srinivas",4,978.05,4.12
C00666,"Xavier Nanda",13,6188.45,3.68
C00670,"Ekapad Rege",5,2939.55,3.92
C00671,"Liam Mitter",5,2108.75,4.56
C00672,"Mitesh Sampath",5,2107.75,4.16
C00674,"Nandini Warrior",5,1680.5,4.1
C00675,"Balhaar Parsa",9,3755.5,3.71
C00676,"Ikbal Kothari",10,4046.25,3.84
C00677,"Ojas Basu",9,4370.25,3.99
C00678,"Garima Sani",6,3145.4,3.98
C00679,"Guneet Kuruvilla",10,7268.900000000001,4.21
C00681,"Xiti Dora",6,2193.75,4.13
C00682,"Vasudha Cheema",9,5410,4.12
C00683,"Frederick Dâ€™Alia",10,5492.3,3.61
C00684,"Ijaya Muni",6,2533.25,3.83
C00688,"Ishwar Bajaj",13,6395.45,4.2
C00690,"Zaitra Ghosh",8,3766.1,3.9
C00692,"Nidhi Gour",3,1270.4,3.8
C00694,"Shivani Sanghvi",15,8365.5,4.13
C00695,"Tanish Jha",8,4950.1,3.91
C00696,"Harsh Yadav",5,3244.6,4.36
C00697,"Eshana Hegde",5,2269.9,4
C00698,"Adweta Suri",13,5930,4.15
C00699,"Lipika Ramanathan",8,3422.8,4.26
C00700,"Ijaya Pandey",15,7261.45,4.07
C00701,"Orinder Mishra",8,2372.25,3.81
C00703,"Dalaja Dada",5,1926.5,3.82
C00704,"Lohit Vaidya",8,4058.85,3.76
C00706,"Vidhi Yogi",6,1555.6,4.35
C00707,"Ojas Suri",9,5707.3,4.32
C00708,"Rachit Murty",10,4375.799999999999,3.92
C00709,"Chatresh Parmer",7,4016.5,4.14
C00710,"Laban Hayer",7,4626.25,3.59
C00711,"Yashasvi Talwar",9,5254.25,3.69
C00712,"Ojasvi Sawhney",9,3273.6499999999996,4.16
C00714,"Brinda Bali",14,6906.900000000001,3.96
C00719,"Yug Mishra",4,2214.5,2.88
C00720,"Shivani Lall",7,5146.85,4
C00721,"Reva Dalal",8,4060.9,4.38
C00723,"Noah Dewan",8,3082.7000000000003,3.98
C00725,"Avni Yohannan",9,4895.35,3.84
C00726,"Brinda Mann",6,2359,3.22
C00727,"Yoshita Chandran",10,4003.3500000000004,3.95
C00729,"Kevin Krish",13,7703.25,4.01
C00731,"Amruta Sachdeva",6,4493.5,4.33
C00732,"Faqid Chander",5,3193.65,4.22
C00733,"Jyoti Sha",6,3087,3.38
C00734,"Aarnav Chander",8,2944.8,4.23
C00735,"Ishita Bhatnagar",10,6119,3.84
C00736,"Tejas Sanghvi",7,2493.9,4.01
C00737,"Warda Loyal",5,2363.7000000000003,4.44
C00738,"Geetika De",8,5649.5,3.89
C00739,"Hemal Bava",12,6376.700000000001,3.99
C00740,"Tripti Babu",11,9670.1,3.79
C00741,"Ridhi Shan",9,5131,3.76
C00742,"Samaksh Deo",8,3012.1,4.28
C00743,"Nathan Mahal",8,5328.75,4
C00744,"Zashil Butala",9,4447.8,3.99
C00745,"Charles Randhawa",12,4686.5,4.18
C00746,"Vivaan Sanghvi",3,2001.25,4.17
C00747,"Girish Agarwal",7,4191.25,3.44
C00748,"Faras Deo",8,3795.7,4
C00749,"Zilmil Saxena",11,4195.85,4.13
C00750,"Hemal Dara",11,7676.4,3.71
C00751,"Kevin Sridhar",9,4774.15,3.42
C00753,"Harshil Munshi",12,5681.25,3.76
C00755,"Luke Biswas",12,5698.75,3.83
C00756,"Nitesh Sarraf",6,2696.6,4.03
C00757,"Max Sabharwal",5,3570,4.12
C00758,"Teerth Chadha",9,5032.75,3.81
C00760,"Indali Sanghvi",7,4677.4,3.71
C00761,"Yug Malhotra",11,4588.900000000001,3.92
C00762,"Yuvraj Mane",6,3088.25,4.48
C00764,"Manya Merchant",10,4059.7000000000003,3.57
C00766,"Wridesh Tata",12,6462.15,3.88
C00767,"Advik Patel",1,462.5,3.1
